Annual Production (AF),Total Water Production (m3),Total Cost ($),Total Energy Cost ($),Total Demand Cost ($),Total Feed Cost ($),Total Brine Cost ($),Total Chemical Cost ($),Total Replacement Cost ($),Total Minus Chem,Total Electricity,,,
8000,188119.7808,151053.2072,13287.24883,8974.883447,34079.67045,10697.60857,83021.48516,992.3107079,68031.72199,22262.13227,,0.18115942,0.056865942
9000,211634.7534,170897.8982,14353.20462,9606.316303,38903.87801,13551.22819,93434.43635,1048.834736,77463.46186,23959.52092,,0.183825564,0.064031205
9500,223392.2397,179822.1042,14709.72035,10451.19847,40930.67955,13942.53821,98616.83055,1171.137019,81205.27361,25160.91883,,0.183223372,0.062412814
10000,235190.0334,189149.149,15626.70361,10271.10007,43008.44656,14453.48579,104642.5903,1146.822756,84506.55878,25897.80367,,0.182866791,0.061454499
10500,246907.2123,197151.0167,16964.28646,11458.54157,44729.56746,14040.61123,108965.6993,992.3107079,88185.31742,28422.82803,,0.18115942,0.056865942
11000,258664.6986,206916.4481,18025.49853,12175.33816,46859.54686,14709.21176,114154.5421,992.3107079,92761.90602,30200.83669,,0.18115942,0.056865942
12000,282179.6712,225576.381,19029.58088,11907.21791,51594.86129,17323.93109,124561.9375,1158.852365,101014.4435,30936.79879,,0.182844005,0.061393264
12400,291585.6603,232954.1229,19452.97552,10995.90722,53439.29076,18236.25999,129670.837,1158.852365,103283.2858,30448.88274,,0.183271327,0.06254169
12500,293937.1575,234246.828,19667.56285,11087.74908,53729.32883,18004.59348,130573.9088,1183.684916,103672.9192,30755.31193,,,
12600,296288.6548,236107.1802,19639.69093,11024.43445,54256.36118,18409.84911,131617.9921,1158.852365,104489.188,30664.12538,,0.183119942,0.062134843
13000,305694.6438,241922.0373,20310.81899,11390.07853,55756.29319,18396.34111,134933.4652,1135.04033,106988.5721,31700.89752,,0.182392117,0.060178814
,,,,,,,,,,,,,
,,1713.204485,,,,,,,,,,,
,97979.05252,,,,,,,,,,,,
,4082.460521,,,,,,,,,,,,
,583.2086459,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12800,300991.6493,239175.7901,19929.88963,10987.07508,55233.00936,19012.30344,132878.4723,1135.04033,,,,,
12200,286968.5475,229026.2192,18943.37153,11472.82092,52659.99639,18127.26486,126687.7252,1135.04033,0.251497006,,,,
12500,293937.1575,234246.828,19667.56285,11087.74908,53729.32883,18004.59348,130573.9088,1183.684916,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12500,293937.1575,235960.0324,21058.30374,14223.84899,53249.48507,16715.01337,129721.0706,992.3107079,106238.9619,35282.15274,,,
12500,293937.1575,234246.828,19667.56285,11087.74908,53729.32883,18004.59348,130573.9088,1183.684916,103672.9192,30755.31193,,,
