TIME PERIOD = 1 WEEK,,,,,,,,,,,,,,,,,,,,
Season,Flexibility Type,Num Flexible Trains,Total Operational Cost,Total Water Production (m3),LCOW ($/m3),Total Energy Cost,Fixed Demand Cost,Variable Demand Cost,Total Elec. Cost,Total Feed Cost,Total Brine Cost,Total Chemical Cost,Total Replacement Cost,Total Demand Response Revenue,Total Cost,MMaximum Power,Energy Capacity,Power Capacity,LVOF,
winter,both,0,103692.5996,282180.9222,0.798227536,17807.33996,4786.782169,2570.200557,25164.32269,48812.87655,9846.809179,18876.28047,992.3107079,0,225244.5821,1086.928874,160.2615776,6.96789468,466.9552685,> have to rerun as LVOF formula was incorrect
summer,both,0,112836.8172,282179.6713,0.830636731,20374.55217,4898.986289,9033.992013,34307.53047,48813.00767,9847.699482,18876.2689,992.3107079,0,234388.7998,1094.554862,20.45652487,2.557065609,3211.287384,
winter,no_flex,0,111442.0141,282179.6712,0.82569377,17692.48177,4757.593132,2555.115572,25005.19047,50843.18401,15303.79839,19297.53049,992.3107079,0,232993.9966,1080.300955,359.3831101,10.26808886,208.6745819,
winter,rr,0,137194.4558,374196.2563,0.691472547,23651.26604,6338.567346,3404.785978,33394.61936,64727.04286,13049.5375,25030.94534,992.3107079,0,258746.4383,1439.29087,0,0,,
winter,flow,0,111441.1241,282179.6713,0.825690616,17691.85011,4757.4251,2555.025327,25004.30054,50843.18401,15303.79839,19297.53049,992.3107079,0,232993.1067,1080.2628,360.7182189,10.30623483,207.9046919,
summer,no_flex,0,120218.6383,282179.6712,0.856796734,20036.01434,4832.356485,8913.443908,33781.81473,50843.18401,15303.79839,19297.53049,992.3107079,0,241770.6208,1079.668114,863.4425303,9.593805892,76.6901023,
summer,rr,0,148899.3418,374122.736,0.72289465,26811.8729,6422.765404,11835.53282,45070.17112,64727.04277,13081.15096,25028.66619,992.3107079,0,270451.3243,1435.004853,0,0,,
summer,flow,0,120217.3988,282179.6712,0.856792342,20035.27574,4832.180388,8913.11909,33780.57522,50843.18401,15303.79839,19297.53049,992.3107079,0,241769.3813,1079.628769,866.9678448,9.632976054,76.3796903,
winter,no_flex,2,111441.1181,282179.6712,0.825690595,17691.84577,4757.423985,2555.024706,25004.29446,50843.18401,15303.79839,19297.53049,992.3107079,0,232993.1006,1080.262547,2069.565852,12.54282335,0.000491042,
summer,no_flex,2,118535.9104,282179.6712,0.850833414,19552.05519,6487.538824,6025.934046,32065.52806,50847.61321,15315.70187,19298.44955,1008.617701,0,240087.8929,1449.476839,27623.63321,317.5130254,0.680362699,
,,,,,,,,,,,,,,,,,,,,
TIME PERIOD = 2 DAYS,,,,,,,,,,,,,,,,,,,,
Season,Flexibility Type,Num Flexible Trains,Total Operational Cost,Total Water Production (m3),LCOW ($/m3),Total Energy Cost,Fixed Demand Cost,Variable Demand Cost,Total Elec. Cost,Total Feed Cost,Total Brine Cost,Total Chemical Cost,Total Replacement Cost,Total Demand Response Revenue,Total Cost,MMaximum Power,Energy Capacity,Power Capacity,LVOF,
winter,both,4,29525.42731,80391.75599,0.792801042,5050.636562,4678.339082,2508.660036,12237.63568,13920,2841.544922,5380.544436,279.2730735,0,63734.6679,1078.449283,624.7035285,13.01465684,27.51418458,
summer,both,4,30655.78772,79415.83562,0.816777004,5129.992673,5254.164118,4834.226025,15218.38282,13875.1543,3140.667867,5340.985421,286.5902719,0,64865.02831,1191.750968,7243.716213,452.7322633,5.815412859,
,,,,,,,,,,,,,,,,,,,,
,,,,277955.4247,,,,,,,,,,,,,,,,
